Salutation,Last Name,First Name,Vlookup Name,Full Name,City,Country,Position,Department,Affiliation,E_mail,Contact Info,URL,Organization,Organization_Committee,Organization_Role,Congress,Congress_Year,Congress_Session,Congress_Title_of_Session,Congress_Role,Journal,Journal_Editorial Board,Journal_Role,Guideline_Name,Guideline_Year,Guideline_Role,CT_NCT_Id_Breast Cancer,title,recruiting,conditions,interventions,lead_sponsor,other_sponsor,phase,study_type,Role,start_dt,end_dt,First Author,Last Author,Total Pub Count,Total 2002-2006,Total 2007-2011,Total 2012-2017
1,Frye,Jennifer ,Frye J,Jennifer  Frye,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02455453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Frye,Sarah ,Frye S,Sarah  Frye,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02065609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Frye,Sarah ,Frye S,Sarah  Frye,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02455453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Fu,Mei R,Fu M,Mei R Fu,New York,USA,(Blank),(Blank),New York University,(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02462226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Fu,Siqing ,Fu S,Siqing  Fu,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT01948843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Fuhrman,Barbara ,Fuhrman B,Barbara  Fuhrman,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02696759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Gable,Preston ,Gable P,Preston  Gable,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02874222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Gabrail,Nashat ,Gabrail N,Nashat  Gabrail,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02310464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Gadi,Vijayakrishna ,Gadi V,Vijayakrishna  Gadi,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT01816035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Gagnon,Bruno ,Gagnon B,Bruno  Gagnon,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02970500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Gallant,Etienne ,Gallant E,Etienne  Gallant,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT01570998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Gambhir,Sanjiv Sam,Gambhir S,Sanjiv Sam Gambhir,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02708511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Gangadar,Tara C,Gangadar T,Tara C Gangadar,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT03060356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Gangadar,Tara C,Gangadar T,Tara C Gangadar,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT03060356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Ganjoo,Kristen N.,Ganjoo K,Kristen N. Ganjoo,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT01144754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Gany,Francesca M,Gany F,Francesca M Gany,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT01134172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Gany,Francesca M,Gany F,Francesca M Gany,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02710058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Gany,Francesca M,Gany F,Francesca M Gany,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02726360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Ganz,Patricia A,Ganz P,Patricia A Ganz,Los Angeles,USA,(Blank),(Blank),University of California,(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT03025139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Ganz,Patricia A,Ganz P,Patricia A Ganz,Los Angeles,USA,(Blank),(Blank),University of California,(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT00112749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Gapasin,Lorena ,Gapasin L,Lorena  Gapasin,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02035085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Garber,Judy Ellen,Garber J,Judy Ellen Garber,Boston,USA,(Blank),(Blank),Dana-Farber Cancer Institute,(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02032823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Garcia,Agustin ,Garcia A,Agustin  Garcia,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT01155258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,GARCIA,JOÃO BS,GARCIA J,JOÃO BS GARCIA,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT03061773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Garcia,Kay ,Garcia K,Kay  Garcia,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT01815346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Garcia,Kay ,Garcia K,Kay  Garcia,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02754752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Gargosky,Sharron E,Gargosky S,Sharron E Gargosky,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02531425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Garon,Edward B,Garon E,Edward B Garon,Los Angeles,USA,(Blank),(Blank),University of California,(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT01029925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Geenen,Jill ,Geenen J,Jill  Geenen,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02914470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Geller,Melissa ,Geller M,Melissa  Geller,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT01105650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Gemignani,Mary L,Gemignani M,Mary L Gemignani,New York,USA,(Blank),(Blank),American College of Surgeons,(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02753673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Geneus,Stephanie ,Geneus S,Stephanie  Geneus,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02752685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Gennaro,Massimiliano ,Gennaro M,Massimiliano  Gennaro,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT03002766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Genre,Dominique ,Genre D,Dominique  Genre,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02869607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Genre,Dominique ,Genre D,Dominique  Genre,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02869542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,George,Shirley ,George S,Shirley  George,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02700776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Geyer,Charles ,Geyer C,Charles  Geyer,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02032823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Ghali,Nadeem ,Ghali N,Nadeem  Ghali,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02625935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Ghia,Amol J.,Ghia A,Amol J. Ghia,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT01624220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Ghoneim,Ayman A,Ghoneim A,Ayman A Ghoneim,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02946294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Gifford,Maryella ,Gifford M,Maryella  Gifford,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02365662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Gilewski,Teresa Ann,Gilewski T,Teresa Ann Gilewski,Baltimore,USA,(Blank),(Blank),Memorial Sloan Kettering Cancer Center,(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT00393783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Gilewski,Teresa Ann,Gilewski T,Teresa Ann Gilewski,Baltimore,USA,(Blank),(Blank),Memorial Sloan Kettering Cancer Center,(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT00470574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Gillanders,William E,Gillanders W,William E Gillanders,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02204098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Gillanders,William E,Gillanders W,William E Gillanders,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02883062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Gillanders,William E,Gillanders W,William E Gillanders,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02348320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Gillanders,William E,Gillanders W,William E Gillanders,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02427581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Gillanders,William E,Gillanders W,William E Gillanders,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02427581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Gillies,Leslie ,Gillies L,Leslie  Gillies,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT00904033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Gilmore,Anne ,Gilmore A,Anne  Gilmore,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02887196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,GINZAC,Angeline ,GINZAC A,Angeline  GINZAC,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02963363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Giordano,Sharon Hermes,Giordano S,Sharon Hermes Giordano,Houston,USA,(Blank),(Blank),University of Texas MD Anderson Cancer Center,(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT01101425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Girelli,Serena ,Girelli S,Serena  Girelli,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02864030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Giuliano,Armando E,Giuliano A,Armando E Giuliano,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02610621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Giuliano,Armando E,Giuliano A,Armando E Giuliano,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT00003855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Giuliano,Armando E,Giuliano A,Armando E Giuliano,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT00003854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Glatz,Jessyka ,Glatz J,Jessyka  Glatz,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT01927081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Gnant,Michael ,Gnant M,Michael  Gnant,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02513394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Go,Soo Jung,Go S,Soo Jung Go,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT03062072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Goetz,Matthew P,Goetz M,Matthew P Goetz,Rochester,USA,(Blank),(Blank),Mayo Clinic,(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT01327781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Goetz,Matthew P,Goetz M,Matthew P Goetz,Rochester,USA,(Blank),(Blank),Mayo Clinic,(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02311933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Goetz,Matthew P,Goetz M,Matthew P Goetz,Rochester,USA,(Blank),(Blank),Mayo Clinic,(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT00667121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Goetz,Matthew P,Goetz M,Matthew P Goetz,Rochester,USA,(Blank),(Blank),Mayo Clinic,(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02022202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Goggins,Michael ,Goggins M,Michael  Goggins,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02000089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Golatta,Michael ,Golatta M,Michael  Golatta,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02638935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Golatta,Michael ,Golatta M,Michael  Golatta,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02948764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Gold,Bert ,Gold B,Bert  Gold,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT01251900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Goldfarb,Shari Beth,Goldfarb S,Shari Beth Goldfarb,(Blank),USA,(Blank),(Blank),Memorial Sloan Kettering Cancer Center,(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT00984399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Goldfarb,Shari Beth,Goldfarb S,Shari Beth Goldfarb,(Blank),USA,(Blank),(Blank),Memorial Sloan Kettering Cancer Center,(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT01588522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Goldfarb,Shari Beth,Goldfarb S,Shari Beth Goldfarb,(Blank),USA,(Blank),(Blank),Memorial Sloan Kettering Cancer Center,(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT01788839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Goldfarb,Shari Beth,Goldfarb S,Shari Beth Goldfarb,(Blank),USA,(Blank),(Blank),Memorial Sloan Kettering Cancer Center,(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02530177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Goldwater,Dr. Ronald,Goldwater D,Dr. Ronald Goldwater,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02780713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Golshan,Mehra,Golshan M,Mehra Golshan,Boston,USA,(Blank),(Blank),Johns Hopkins University,(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02057432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Golshan,Mehra,Golshan M,Mehra Golshan,Boston,USA,(Blank),(Blank),Johns Hopkins University,(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02335671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Golshan,Mehra,Golshan M,Mehra Golshan,Boston,USA,(Blank),(Blank),Johns Hopkins University,(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02956473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Gonçalves,Anthony ,Gonçalves A,Anthony  Gonçalves,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02860585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Gonzalez,Victor J,Gonzalez V,Victor J Gonzalez,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02379988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Goodman,Marc ,Goodman M,Marc  Goodman,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02674204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Goodwin,Epp ,Goodwin E,Epp  Goodwin,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02642094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Goodwin,Epp ,Goodwin E,Epp  Goodwin,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02996240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Goodwin,Epp ,Goodwin E,Epp  Goodwin,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT03032614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Goodwin,Pamela Jean,Goodwin P,Pamela Jean Goodwin,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT00463489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Goodwin,Pamela Jean,Goodwin P,Pamela Jean Goodwin,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT01101438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Gorengaut,Sophie ,Gorengaut S,Sophie  Gorengaut,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02981303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Gorman,Cathleen ,Gorman C,Cathleen  Gorman,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02820961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Gosik,Diana ,Gosik D,Diana  Gosik,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT01850628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Gosik,Diana ,Gosik D,Diana  Gosik,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02236000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Gosik,Diana ,Gosik D,Diana  Gosik,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02296801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Goulet,Robert J.,Goulet R,Robert J. Goulet,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT00551278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Govindan,Ramaswamy ,Govindan R,Ramaswamy  Govindan,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02669914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Goyal,Uma ,Goyal U,Uma  Goyal,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02379988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Graetz,Ilana ,Graetz I,Ilana  Graetz,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02957526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Gralow,Julie R,Gralow J,Julie R Gralow,Seattle,USA,Director,Breast Medical Oncology,Seattle Cancer Care Alliance,(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT00874211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Grant,Clive S.,Grant C,Clive S. Grant,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT00002762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Grant-Wisdom,Thalia ,Grant-Wisdom T,Thalia  Grant-Wisdom,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT01023477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Graves,Kristi D,Graves K,Kristi D Graves,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02222337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Gray,Heidi ,Gray H,Heidi  Gray,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT01641068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Greenberg,Caprice Christian,Greenberg C,Caprice Christian Greenberg,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02171078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Greene,Mark H,Greene M,Mark H Greene,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT00040222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Greene,Mark H,Greene M,Mark H Greene,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT00043472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Greenlee,Heather,Greenlee H,Heather Greenlee,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT00976131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Greenlee,Heather,Greenlee H,Heather Greenlee,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT01414062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Greenlee,Heather,Greenlee H,Heather Greenlee,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02780271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Greil,Richard ,Greil R,Richard  Greil,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02993094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Gress,Ronald E,Gress R,Ronald E Gress,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT01339000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Greten,Tim F,Greten T,Tim F Greten,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT00923520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Griffin,Patricia ,Griffin P,Patricia  Griffin,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT00438659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Grim,Suzanne M,Grim S,Suzanne M Grim,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02507960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Grobmyer,Stephen R,Grobmyer S,Stephen R Grobmyer,Cleveland,USA,(Blank),(Blank),Weill Cornell Medical College,(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02419807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Groves,Morris D.,Groves M,Morris D. Groves,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02000882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Grumley,Janie ,Grumley J,Janie  Grumley,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),https://clinicaltrials.gov/ct2/show/NCT02266602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
